EXP;LAB;Animal_id;Cage_id;Litter_id;Batch_id;Group_Exp;Group;Recommend_exclusion;Entries_OpenArms;Entries_ClosedArms;Entries_Total;Perc_Entries_OpenArms;Perc_Entries_ClosedArms;Ratio_Entries_OpenArms;Time_OpenArms;Time_ClosedArms;Time_CentralArea;Perc_Time_OpenArms_total;Ratio_Time_OpenArms_total;Perc_Time_OpenArms_arms;Perc_Time_OpenArms_mixed;Perc_Time_ClosedArms_total;Perc_Time_ClosedArms_arms;Perc_Time_CentralArea_total;HeadDipping_Unprotected;HeadDipping_TotalTime;StretchAttend_Protected;Stretching_Total;Rearing;Grooming;Peeping_out;End_arm_exploration_count;Weight_dif;Tries_OpenArms;Tries_ClosedArms;Tries_Total;Distance;FST_Mobility_time;FST_Immobility_time;TST_Mobility_time;TST_Immobility_time;OR_Training_Object1;OR_Training_Object2;OR_Training_DiscriminationRatio;OR_Test_Old;OR_Test_New;OR_Test_DiscriminationRatio
EPM1;LAB16;1;1;;A;Control;Group1;No;14;6;20;;;;170,7;94,6;;;;;;;;;;;;;;;;;;;;;;79,998;220,002;241,501;118,499;;;;;;
EPM1;LAB16;2;1;;A;Control;Group1;No;10;10;20;;;;138,7;94,9;;;;;;;;;;;;;;;;;;;;;;88,997;211,003;309,894;50,106;;;;;;
EPM1;LAB16;3;1;;A;Control;Group1;No;8;11;19;;;;133,3;101,5;;;;;;;;;;;;;;;;;;;;;;209,104;90,896;226,203;133,797;;;;;;
EPM1;LAB16;4;1;;A;Control;Group1;No;9;11;20;;;;109,5;104,5;;;;;;;;;;;;;;;;;;;;;;42,301;257,699;145,205;214,795;;;;;;
EPM1;LAB16;5;1;;A;Control;Group1;No;10;12;22;;;;141,5;87,4;;;;;;;;;;;;;;;;;;;;;;49,501;250,499;285,878;74,122;;;;;;
EPM1;LAB16;6;1;;A;Control;Group1;No;5;2;7;;;;228;26,9;;;;;;;;;;;;;;;;;;;;;;225,25;74,75;168,282;191,718;;;;;;
EPM1;LAB16;1;2;;A;Control;Group1;No;12;8;20;;;;131,9;49;;;;;;;;;;;;;;;;;;;;;;101,401;198,599;244,805;115,195;;;;;;
EPM1;LAB16;2;2;;A;Control;Group1;No;8;10;18;;;;114,3;87,3;;;;;;;;;;;;;;;;;;;;;;141,253;158,747;216,595;143,405;;;;;;
EPM1;LAB16;3;2;;A;Control;Group1;No;13;11;24;;;;112,2;110,8;;;;;;;;;;;;;;;;;;;;;;177,297;122,703;223,204;136,796;;;;;;
EPM1;LAB16;4;2;;A;Control;Group1;No;7;12;19;;;;103,6;99,7;;;;;;;;;;;;;;;;;;;;;;56,999;243,001;221,993;138,007;;;;;;
