LAB;EXP;Date of MTT assay;Culture ID;Plate ID;Passage ID;Animal Pool ID;ID LAB;Experimental Group;Group;Exclude?;Optical Density (a.u.)
LAB1;MTT18;07/10/22;71022o;1;5;NA;;TEST;Group2;;0,444
LAB1;MTT18;07/10/22;71022o;1;5;NA;;TEST;Group2;;0,352
LAB1;MTT18;07/10/22;71022o;1;5;NA;;TEST;Group2;;0,36
LAB1;MTT18;07/10/22;71022o;1;5;NA;;CONTROL GROUP;;;1,44
LAB1;MTT18;07/10/22;71022o;1;5;NA;;CONTROL GROUP;;;1,569
LAB1;MTT18;07/10/22;71022o;1;5;NA;;CONTROL GROUP;;;1,316
LAB1;MTT18;07/10/22;71022o;1;5;NA;;VEHICLE GROUP;Group1;;0,498
LAB1;MTT18;07/10/22;71022o;1;5;NA;;VEHICLE GROUP;Group1;;0,692
LAB1;MTT18;07/10/22;71022o;1;5;NA;;VEHICLE GROUP;Group1;;0,606
LAB1;MTT18;07/10/22;71022o;1;5;NA;;POSITIVE CTRL ;Positive_Control;;0,047
LAB1;MTT18;07/10/22;71022o;1;5;NA;;POSITIVE CTRL ;Positive_Control;;0,042
LAB1;MTT18;07/10/22;71022o;1;5;NA;;POSITIVE CTRL ;Positive_Control;;0,042
LAB1;MTT18;07/10/22;71022o;1;5;NA;;POSITIVE CTRL ;Positive_Control;;0,05
LAB1;MTT18;07/10/22;71022o;1;5;NA;;POSITIVE CTRL ;Positive_Control;;0,043
LAB1;MTT18;07/10/22;71022o;1;5;NA;;CTRL BLANKS;Blank_all_groups;;0,076
LAB1;MTT18;07/10/22;71022o;1;5;NA;;CTRL BLANKS;Blank_all_groups;;0,086
LAB1;MTT18;07/10/22;71022o;1;5;NA;;CTRL BLANKS;Blank_all_groups;;0,068
LAB1;MTT18;07/10/22;71022o;1;5;NA;;CTRL BLANKS;Blank_all_groups;;0,082
LAB1;MTT18;07/10/22;71022o;1;5;NA;;CTRL BLANKS;Blank_all_groups;;0,068
LAB1;MTT18;29/08/22;290822o;2;4;NA;;TEST;Group2;;0,476
LAB1;MTT18;29/08/22;290822o;2;4;NA;;TEST;Group2;;0,473
LAB1;MTT18;29/08/22;290822o;2;4;NA;;TEST;Group2;;0,316
LAB1;MTT18;29/08/22;290822o;2;4;NA;;CONTROL GROUP;;;1,222
LAB1;MTT18;29/08/22;290822o;2;4;NA;;CONTROL GROUP;;;1,308
LAB1;MTT18;29/08/22;290822o;2;4;NA;;CONTROL GROUP;;;1,233
LAB1;MTT18;29/08/22;290822o;2;4;NA;;VEHICLE GROUP;Group1;;0,927
LAB1;MTT18;29/08/22;290822o;2;4;NA;;VEHICLE GROUP;Group1;;0,804
