LAB;EXP;Date of PCR;Plate ID;Experimental Unit LAB;Experimental Unit BRI;Animal ID;CT Gene of Interest;CT Control Gene I;CT Control Gene II;Band Density Gene of Interest;Band Density Control Gene;Exclude?;Experimental Group;Group;Efficiency of primer pair of interest;Efficiency of primer pair of control I;Efficiency of primer pair of control II
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3;1;;;27,48;;;;;GM07492 without nanoparticles 1 RP1;Group1;2;2;2
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3;1;;;27,6;;;;;GM07492 without nanoparticles 1 RP2;Group1;2;2;
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3;1;;;27,64;;;;;GM07492 without nanoparticles 1 RP3;Group1;2;2;
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3;1;;27,67;;;;;;GM07492 without nanoparticles 1 RP1;Group1;2;2;
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3;1;;27,7;;;;;;GM07492 without nanoparticles 1 RP2;Group1;2;2;
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3;1;;27,74;;;;;;GM07492 without nanoparticles 1 RP3;Group1;2;2;
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3 AgNP;1;;;27,31;;;;;GM07492 with nanoparticles 1 RP1;Group2;2;2;
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3 AgNP;1;;;27,21;;;;;GM07492 with nanoparticles 1 RP2;Group2;2;2;
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3 AgNP;1;;;27,11;;;;;GM07492 with nanoparticles 1 RP3;Group2;2;2;
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3 AgNP;1;;27,01;;;;;;GM07492 with nanoparticles 1 RP1;Group2;2;2;
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3 AgNP;1;;26,86;;;;;;GM07492 with nanoparticles 1 RP2;Group2;2;2;
LAB8;PCR69;30/11/22;Corrida 1 PCR 69;GM07492 P3 AgNP;1;;26,93;;;;;;GM07492 with nanoparticles 1 RP3;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4;2;;;27,89;;;;;GM07492 without nanoparticles 2 RP1;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4;2;;;27,73;;;;;GM07492 without nanoparticles 2 RP2;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4;2;;;27,84;;;;;GM07492 without nanoparticles 2 RP3;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4;2;;28,05;;;;;;GM07492 without nanoparticles 2 RP1;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4;2;;28,58;;;;;;GM07492 without nanoparticles 2 RP2;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4;2;;28,42;;;;;;GM07492 without nanoparticles 2 RP3;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4 AgNP;2;;;27,57;;;;;GM07492 with nanoparticles 2 RP1;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4 AgNP;2;;;27,29;;;;;GM07492 with nanoparticles 2 RP2;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4 AgNP;2;;;27,15;;;;;GM07492 with nanoparticles 2 RP3;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4 AgNP;2;;27,97;;;;;;GM07492 with nanoparticles 2 RP1;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4 AgNP;2;;27,67;;;;;;GM07492 with nanoparticles 2 RP2;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 2 PCR 69;GM07492 P4 AgNP;2;;26,86;;;;;;GM07492 with nanoparticles 2 RP3;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5;3;;26,87;;;;;;GM07492 without nanoparticles 3 RP1;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5;3;;26,95;;;;;;GM07492 without nanoparticles 3 RP2;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5;3;;26,89;;;;;;GM07492 without nanoparticles 3 RP3;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5;3;;;27,43;;;;;GM07492 without nanoparticles 3 RP1;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5;3;;;27,33;;;;;GM07492 without nanoparticles 3 RP2;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5;3;;;27,26;;;;;GM07492 without nanoparticles 3 RP3;Group1;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5 AgNP;3;;25,74;;;;;;GM07492 with nanoparticles 3 RP1;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5 AgNP;3;;25,59;;;;;;GM07492 with nanoparticles 3 RP2;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5 AgNP;3;;25,69;;;;;;GM07492 with nanoparticles 3 RP3;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5 AgNP;3;;;26,85;;;;;GM07492 with nanoparticles 3 RP1;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5 AgNP;3;;;26,82;;;;;GM07492 with nanoparticles 3 RP2;Group2;2;2;
LAB8;PCR69;12/07/22;Corrida 3 PCR 69;GM07492 P5 AgNP;3;;;26,79;;;;;GM07492 with nanoparticles 3 RP3;Group2;2;2;
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MCF-10A P3;1;;;;19,49;;;;MCF-10A 1 RP1;Group1;;;2,06
LAB8;PCR147;21/10/22;Corrida 1 PCR 147;MCF-10A P3;1;;;;19,6;;;;MCF-10A 1 RP2;Group1;;;2,06
